source_name,source_language,headline_original,headline_english_placeholder,article_url,publication_date,discovery_source,article_snippet,section_guess,subsection_guess,date_status,relevance_status,relevance_reason,relevance_score,priority,source_tier,duplicate_status,story_id,editorial_status,editorial_reason,rejection_reason,qa_status,qa_notes,include_candidate,duplicate_key,parser_used,notes
LANA,ar,الطرابلسي: تحقيق الأمن المستدام بات يعتمد على بنية تكنولوجية حديثة ومنظومات سيادية متطورة,,https://lana.gov.ly/post.php?lang=ar&id=359153,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,طرابلس 10 يونيو 2026(وال)-قال وزير الداخلية بحكومة الوحدة الوطنية لواء عماد الطرابلسي إن تحقيق الأمن المستدام بات يعتمد على بنية تكنولوجية حديثة ومنظومات سيادية متطورة تواكب التحديات الأمنية الراهنة. جاء ذلك في كلمة له ال�,Migration,Migration Policy,in_range,accepted,editorial_score:93; section:Migration; marker:هجرة,93,HIGH,A,unique,story-001,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,lana:https://lana.gov.ly/post.php?lang=ar&id=359153,lana,
LANA,ar,الأهلي طرابلس والأهلي بنغازي في نهائي كأس ليبيا على أرضية استاد القاهرة الدولي,,https://lana.gov.ly/post.php?lang=ar&id=359041,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 09 يونيو 2026 (وال) - تتجه أنظار جماهير كرة القدم الليبية، مساء اليوم، إلى المباراة النهائية لبطولة كأس ليبيا للموسم الرياضي 2025-2026، والتي تجمع بين الأهلي طرابلس والأهلي بنغازي في مواجهة مرتقبة لحسم لقب البطولة.ومن ا�,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359041,lana,
LANA,ar,الشرطة السويسرية تعثر على جثمان الدكتورة الليبية أبرار بن رمضان .,,https://lana.gov.ly/post.php?lang=ar&id=358708,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,جنييف 04 يونيو 2026 ( وال ) - عثرت الشرطة السويسرية، في المسار نفسه الذي فُقدت فيه الدكتورة الليبية أبرار بن رمضان منذ 2 مايو الماضي ، على جثمانها ، وذلك في مرتفعات منطقة إنترلاكن بسويسرا، فيما لا تزال الفحوصات جارية للتأكد من,Varieties,Varieties,in_range,accepted,editorial_score:5; section:Varieties; marker:no_editorial_marker,5,LOW,A,unique,,rejected,low_editorial_value:5<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:5<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358708,lana,
LANA,ar,يوم الحسم.. النصر والسويحلي في مواجهة نهائية لتحديد بطل الدوري الممتاز,,https://lana.gov.ly/post.php?lang=ar&id=358833,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 06 يونيو 2026 ( وال ) - تتجه أنظار عشاق كرة القدم الليبية مساء اليوم إلى المواجهة المرتقبة التي تجمع بين فريقي النصر والسويحلي في المباراة النهائية الحاسمة لتحديد بطل الدوري الليبي الممتاز لكرة القدم للموسم الرياضي,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358833,lana,
LANA,ar,مظاهرات طرابلس وملف الهجرة غير النظامية.. مخاوف متصاعدة وأسئلة تبحث عن إجابات,,https://lana.gov.ly/post.php?lang=ar&id=358757,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,-متابعة وتصوير : فريق والطرابلس 04 يونيو 2026 (وال) - شهدت العاصمة طرابلس، اليوم الخميس، مظاهرات سلمية واسعة شارك فيها مواطنون قدموا من عدة مناطق ومدن ليبية، قبل أن تتجمع الحشود أمام مقر المفوضية السامية لشؤون اللاجئين بمنطق,Migration,Deportation & Enforcement,in_range,accepted,editorial_score:93; section:Migration; marker:هجرة,93,HIGH,A,clustered_cross_source,story-002,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,lana:https://lana.gov.ly/post.php?lang=ar&id=358757,lana,
LANA,ar,سفارة السودان بليبيا تعلن استعدادها لانطلاق المرحلة الثانية لعودة اللاجئين لبلادهم طوعا,,https://lana.gov.ly/post.php?lang=ar&id=358933,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,طرابلس 07 يونيو 2026 (وال)- أعلنت سفارة السودان لدى ليبيا، اليوم الأحد،أنها ستطلق المرحلة الثانية من برنامج العودة الطوعية لللاجئين السودانيين بالتعاون مع حكومة الوحدة الوطنية وذلك بعد إكمال المرحلة الأولى قبل عطلة عيد ال,Migration,Deportation & Enforcement,in_range,accepted,editorial_score:93; section:Migration; marker:مهاجر,93,HIGH,A,clustered_cross_source,story-002,approved,passed_editorial_scoring,,approved,Reliable date inside target window and Libya-relevant,yes,lana:https://lana.gov.ly/post.php?lang=ar&id=358933,lana,
LANA,ar,( وال) خبير أرصاد ليبي: سحب استوائية عبرت ليبيا من الجنوب إلى الشمال في ظاهرة لم أشهد مثيلاً لها منذ 1980.,,https://lana.gov.ly/post.php?lang=ar&id=358819,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,"طرابلس 05 يونيو 2026 م (وال) - كشف خبير الأرصاد الجوية الليبي "" علي ميلاد أبوخريص "" عن رصد ظاهرة مناخية استثنائية وصفها بأنها غير مسبوقة في مسيرته المهنية الممتدة لأكثر من أربعة عقود، تمثلت في تحرك السحب الاستوائية الموسمية من أقصى جنوب ليبيا نحو الشمال، مرورًا بمناطق واسعة من البلاد قبل أن تواصل امتدادها خارج الحدود الليبية، في مشهد قال إنه لم يشهد له مثيلاً منذ تخرجه في الجزائر عام 1980. جاءت ملاحظات "" أبوخريص "" ضمن ورقة بحثية موسعة بعنوان ""المناخ في ليبيا والدورات المناخية طويلة المدى""، استعر",Military & Security,Military & Security,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358819,lana,
LANA,ar,اقتراب موعد الحسم.. النصر والسويحلي يستعدان لنهائي الدوري الليبي في القاهرة,,https://lana.gov.ly/post.php?lang=ar&id=358733,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 4 يونيو 2026 ( وال ) - وصلت بعثتا فريقي النصر والسويحلي خلال اليومين الماضيين إلى العاصمة المصرية القاهرة، استعدادًا لخوض المباراة النهائية الحاسمة لبطولة الدوري الليبي الممتاز لكرة القدم للموسم الرياضي 2025-2026.وكان,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358733,lana,
LANA,ar,الأهلي طرابلس يتوج بكأس ليبيا للمرة الثانية توالياً ويحصد اللقب التاسع في تاريخه,,https://lana.gov.ly/post.php?lang=ar&id=359084,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,القاهرة 09 يونيو 2026 (وال) - توج الأهلي طرابلس بلقب كأس ليبيا لكرة القدم للمرة الثانية على التوالي، بعدما حقق الفوز على الأهلي بنغازي بهدف دون رد في المباراة النهائية التي أقيمت مساء اليوم الثلاثاء على أرضية ملعب القاهرة ا�,Regional & International,Regional & International,in_range,accepted,keyword_match:ليبيا,20,LOW,A,unique,,rejected,sports_or_entertainment,sports_or_entertainment,rejected,Reliable date inside target window and Libya-relevant; sports_or_entertainment,no,lana:https://lana.gov.ly/post.php?lang=ar&id=359084,lana,
LANA,ar,رئيس الأركان العامة يشدد على أهمية استيفاء وضمان حقوق مؤسسة الجيش الليبي ومنتسبيها.,,https://lana.gov.ly/post.php?lang=ar&id=358943,2026-06-09,https://lana.gov.ly/category.php?lang=ar&id=8,"طرابلس 07 يونيو 2026(وال)- شدد رئيس الأركان العامة للجيش الليبي، الفريق أول الدكتور "" صلاح الدين النمروش "" على ضرورة متابعة استيفاء وضمان حقوق مؤسسة الجيش الليبي ومنتسبيها. جاء ذلك خلال الاجتماع الذي عقده "" النمروش"" مع رؤساء الأركانات النوعية لمناقشة عدد من الملفات المتعلقة بسير العمل داخل المؤسسة العسكرية. كما أكد خلال الاجتماع على أهمية مضاعفة الجهود للارتقاء بأداء المؤسسة العسكرية والوصول بها إلى المستوى المنشود والعمل على معالجة الصعوبات والتحديات التي تواجه سير العمل بها بما يسهم في تعزيز ا",Military & Security,Military & Security,in_range,accepted,editorial_score:55; section:Military & Security; marker:عسكرية,55,LOW,A,unique,,rejected,low_editorial_value:55<60,low_editorial_value,rejected,Reliable date inside target window and Libya-relevant; low_editorial_value:55<60,no,lana:https://lana.gov.ly/post.php?lang=ar&id=358943,lana,
